56 200
   0	INF	INF	INF	INF	INF	INF	7.01	INF	INF	INF	INF	INF	INF	INF	INF	9.79	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0.49	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	28.58	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	   0	INF	INF	25.82	INF	INF	INF	INF	INF	2.05	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	23.57	INF	INF	INF	6.70	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	15.96	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	21.11	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	16.02	18.00	INF	INF	INF	INF	16.28	INF	INF	INF	INF	6.85	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	23.23	INF	9.25	INF	INF	28.82	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	24.57	INF	INF	INF	INF	INF	INF	15.85	INF	INF	INF	INF	INF	INF	INF	INF	27.21	INF	INF	INF	INF	19.21	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	19.60	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	19.09	INF	INF	INF	INF	INF	5.41	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	8.43	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	17.62	INF	INF	INF	INF	INF	INF	INF	8.77	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	20.77	INF	
INF	INF	23.00	INF	INF	INF	INF	13.89	INF	   0	INF	8.98	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	4.83	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	
INF	20.83	INF	INF	INF	INF	INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	16.25	INF	INF	INF	INF	INF	9.41	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	4.79	INF	
14.21	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	17.30	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	12.76	INF	INF	INF	INF	INF	INF	INF	INF	9.71	INF	INF	INF	
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	   0	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	13.96	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	17.16	5.71	INF	INF	INF	INF	INF	
